ga.dateHourMinute;ga.sessionDurationBucket;ga.browser.encoded;ga.operatingSystem.encoded;ga.operatingSystemVersion.encoded;ga.language.encoded;ga.DeviceInfo.encoded;Unique.code;ga.sessionsWithEvent;Success
201804031151;1;A6;B2;C44;D30;E1;A6B2C44D30E1;1;FALSE
201804141014;3;A4;B2;C42;D54;E1;A4B2C42D54E1;1;FALSE
201804141045;1;A4;B2;C49;D53;E1;A4B2C49D53E1;1;FALSE
201804231929;2;A3;B2;C51;D13;E1;A3B2C51D13E1;1;FALSE
201806061033;1;A6;B2;C44;D31;E1;A6B2C44D31E1;1;FALSE
201806211537;20;A13;B2;C51;D55;E1;A13B2C51D55E1;1;FALSE
201805110931;26;A4;B2;C52;D31;E3;A4B2C52D31E3;1;FALSE
201803181924;2;A11;B4;C5;D54;E5;A11B4C5D54E5;1;FALSE
201803202349;2;A11;B4;C8;D77;E5;A11B4C8D77E5;1;FALSE
201804031057;1;A11;B4;C15;D73;E5;A11B4C15D73E5;1;FALSE
201804071552;1;A12;B4;C7;D77;E5;A12B4C7D77E5;1;FALSE
201804100213;1;A11;B4;C62;D31;E5;A11B4C62D31E5;1;FALSE
201804141916;3;A12;B4;C26;D77;E5;A12B4C26D77E5;1;FALSE
201804161022;2;A4;B4;C24;D77;E5;A4B4C24D77E5;1;FALSE
201804300931;1;A4;B4;C17;D54;E5;A4B4C17D54E5;1;FALSE
201805051613;3;A11;B4;C26;D25;E5;A11B4C26D25E5;1;FALSE
201805102154;1;A11;B4;C24;D13;E5;A11B4C24D13E5;1;FALSE
201805121829;4;A4;B4;C62;D38;E5;A4B4C62D38E5;1;FALSE
201805152158;2;A4;B4;C12;D54;E5;A4B4C12D54E5;1;FALSE
201806011836;1;A11;B4;C59;D77;E5;A11B4C59D77E5;1;FALSE
201806022208;11;A4;B4;C13;D77;E5;A4B4C13D77E5;1;FALSE
201806042032;1;A11;B4;C17;D77;E5;A11B4C17D77E5;1;FALSE
201806062016;1;A11;B4;C61;D31;E5;A11B4C61D31E5;1;FALSE
201806131931;12;A12;B4;C27;D77;E5;A12B4C27D77E5;1;FALSE
201806171203;1;A11;B4;C29;D13;E5;A11B4C29D13E5;1;FALSE
201806140603;2;A12;B4;C1;D77;E6;A12B4C1D77E6;1;FALSE
201803201630;1;A12;B4;C1;D13;E7;A12B4C1D13E7;1;FALSE
201805091923;1;A12;B4;C1;D77;E8;A12B4C1D77E8;1;FALSE
201803241449;49;A12;B4;C26;D54;E9;A12B4C26D54E9;1;FALSE
201803162145;1;A12;B4;C24;D77;E11;A12B4C24D77E11;1;FALSE
201803172012;1;A4;B4;C24;D77;E11;A4B4C24D77E11;1;FALSE
201803201906;1;A11;B4;C26;D17;E11;A11B4C26D17E11;1;FALSE
201803260601;24;A11;B4;C61;D77;E11;A11B4C61D77E11;1;FALSE
201804041821;2;A4;B4;C62;D31;E11;A4B4C62D31E11;1;FALSE
201804050056;1;A11;B4;C26;D11;E11;A11B4C26D11E11;1;FALSE
201804072208;3;A11;B4;C56;D77;E11;A11B4C56D77E11;1;FALSE
201804141013;2;A4;B4;C19;D54;E11;A4B4C19D54E11;1;FALSE
201804261842;2;A11;B4;C14;D31;E11;A11B4C14D31E11;1;FALSE
201804302135;3;A12;B4;C26;D54;E11;A12B4C26D54E11;1;FALSE
201805060946;4;A11;B4;C14;D17;E11;A11B4C14D17E11;1;FALSE
201805181601;1;A11;B4;C12;D13;E11;A11B4C12D13E11;1;FALSE
201805231751;3;A4;B4;C28;D63;E11;A4B4C28D63E11;1;FALSE
201805250754;25;A11;B4;C10;D51;E11;A11B4C10D51E11;1;FALSE
201805272252;2;A11;B4;C21;D31;E11;A11B4C21D31E11;1;FALSE
201805281705;1;A11;B4;C16;D51;E11;A11B4C16D51E11;1;FALSE
201806041815;3;A11;B4;C59;D77;E11;A11B4C59D77E11;1;FALSE
201804191244;40;A11;B4;C26;D77;E11;A11B4C26D77E11;1;TRUE
201804252038;33;A11;B4;C10;D77;E11;A11B4C10D77E11;0;TRUE
201804260640;591;A11;B4;C14;D77;E11;A11B4C14D77E11;1;TRUE
201805050016;136;A11;B4;C27;D54;E11;A11B4C27D54E11;1;TRUE
201805050017;136;A11;B4;C27;D54;E11;A11B4C27D54E11;0;TRUE
201805050018;136;A11;B4;C27;D54;E11;A11B4C27D54E11;0;TRUE
201805051854;189;A11;B4;C27;D54;E11;A11B4C27D54E11;1;TRUE
201805051855;189;A11;B4;C27;D54;E11;A11B4C27D54E11;0;TRUE
201805051856;189;A11;B4;C27;D54;E11;A11B4C27D54E11;0;TRUE
201805051857;189;A11;B4;C27;D54;E11;A11B4C27D54E11;0;TRUE
201805051927;117;A11;B4;C27;D54;E11;A11B4C27D54E11;1;TRUE
201805052018;45;A11;B4;C27;D54;E11;A11B4C27D54E11;0;TRUE
201805111100;21;A11;B4;C27;D54;E11;A11B4C27D54E11;0;TRUE
201806142119;97;A11;B4;C29;D77;E11;A11B4C29D77E11;0;TRUE
201805082205;459;A12;B4;C27;D54;E13;A12B4C27D54E13;0;TRUE
201805261452;848;A12;B4;C27;D54;E14;A12B4C27D54E14;0;FALSE
201803290926;509;A12;B4;C26;D77;E14;A12B4C26D77E14;0;TRUE
201803291706;162;A12;B4;C26;D13;E14;A12B4C26D13E14;0;TRUE
201803281758;2;A12;B4;C26;D13;E16;A12B4C26D13E16;1;FALSE
201804272051;76;A12;B4;C27;D54;E16;A12B4C27D54E16;0;FALSE
201804302327;1;A12;B4;C13;D77;E16;A12B4C13D77E16;1;FALSE
201805011556;1;A12;B4;C27;D54;E16;A12B4C27D54E16;1;FALSE
201805231102;366;A12;B4;C27;D77;E16;A12B4C27D77E16;0;FALSE
201805231104;366;A12;B4;C27;D77;E16;A12B4C27D77E16;0;FALSE
201805251922;1;A12;B4;C27;D54;E16;A12B4C27D54E16;1;FALSE
201806141300;145;A12;B4;C27;D77;E16;A12B4C27D77E16;1;FALSE
201806141301;145;A12;B4;C27;D77;E16;A12B4C27D77E16;0;FALSE
201803231923;71;A12;B4;C26;D77;E16;A12B4C26D77E16;0;TRUE
201804241129;63;A12;B4;C27;D54;E16;A12B4C27D54E16;1;TRUE
201805010953;593;A12;B4;C25;D54;E16;A12B4C25D54E16;0;TRUE
201806172056;150;A12;B4;C29;D77;E17;A12B4C29D77E17;0;FALSE
201804022044;391;A12;B4;C27;D13;E17;A12B4C27D13E17;1;TRUE
201804281803;2;A12;B4;C26;D77;E18;A12B4C26D77E18;1;FALSE
201805010917;208;A12;B4;C27;D54;E18;A12B4C27D54E18;0;FALSE
201805010918;208;A12;B4;C27;D54;E18;A12B4C27D54E18;0;FALSE
201806031918;322;A12;B4;C26;D77;E18;A12B4C26D77E18;0;FALSE
201806031919;322;A12;B4;C26;D77;E18;A12B4C26D77E18;0;FALSE
201804201410;327;A12;B4;C27;D54;E18;A12B4C27D54E18;0;TRUE
201804201944;213;A12;B4;C25;D77;E18;A12B4C25D77E18;0;TRUE
201805162321;180;A12;B4;C27;D77;E20;A12B4C27D77E20;0;FALSE
201806161716;747;A12;B4;C29;D77;E20;A12B4C29D77E20;0;FALSE
201805241209;365;A12;B4;C21;D54;E23;A12B4C21D54E23;1;FALSE
