ga.dateHourMinute;ga.userType;ga.sessionCount;ga.userBucket;ga.sessionDurationBucket;ga.sessionsWithEvent;ga.uniqueDimensionCombinations;Sucess
201803151836;New Visitor;1;79;1;1;1;FALSE
201803151838;Returning Visitor;2;30;1;1;1;FALSE
201803151841;New Visitor;1;19;220;1;1;FALSE
201803151842;New Visitor;1;10;80;1;1;FALSE
201803151926;Returning Visitor;2;48;207;1;1;FALSE
201803151928;Returning Visitor;2;48;207;0;1;FALSE
201803151930;Returning Visitor;2;48;207;0;1;FALSE
201803151944;New Visitor;1;64;294;1;1;FALSE
201803151947;New Visitor;1;64;294;0;1;FALSE
201803151949;New Visitor;1;64;294;0;1;FALSE
201803152019;New Visitor;1;29;255;1;1;FALSE
201803152020;New Visitor;1;29;255;0;1;FALSE
201803152023;New Visitor;1;29;255;0;1;FALSE
201803152043;Returning Visitor;2;64;1;1;1;FALSE
201803152131;New Visitor;1;52;32;1;1;FALSE
201803152132;New Visitor;1;52;32;0;1;FALSE
201803152204;New Visitor;1;58;1184;1;1;FALSE
201803152206;New Visitor;1;58;1184;0;1;FALSE
201803152207;New Visitor;1;58;1184;0;1;FALSE
201803152220;New Visitor;1;59;1897;1;1;FALSE
201803152224;New Visitor;1;58;1184;0;1;FALSE
201803152235;New Visitor;1;73;262;1;1;FALSE
201803152238;New Visitor;1;73;262;0;1;FALSE
201803152239;New Visitor;1;73;262;0;1;FALSE
201803152255;New Visitor;1;17;1;1;1;FALSE
201803160047;New Visitor;1;81;2;1;1;FALSE
201803160651;New Visitor;1;92;38;1;1;FALSE
201803160725;New Visitor;1;97;49;0;1;FALSE
201803160726;New Visitor;1;97;1;1;1;FALSE
201803160802;New Visitor;1;34;1;1;1;FALSE
201803161007;New Visitor;1;9;1;1;1;FALSE
201803161020;New Visitor;1;33;33;1;1;FALSE
201803161021;New Visitor;1;33;33;0;1;FALSE
201803161200;Returning Visitor;2;72;24;1;1;FALSE
201803161201;Returning Visitor;2;72;24;0;1;FALSE
201803161301;New Visitor;1;50;568;1;1;FALSE
201803161307;New Visitor;1;50;568;0;1;FALSE
201803161310;New Visitor;1;50;568;0;1;FALSE
201803161312;New Visitor;1;72;2;1;1;FALSE
201803161513;New Visitor;1;11;135;1;1;FALSE
201803161519;New Visitor;1;4;51;0;1;FALSE
201803161550;New Visitor;1;6;115;1;1;FALSE
201803161552;New Visitor;1;6;115;0;1;FALSE
201803161558;New Visitor;1;66;64;0;1;FALSE
201803161559;New Visitor;1;66;64;0;1;FALSE
201803161600;New Visitor;1;31;2;1;1;FALSE
201803161618;New Visitor;1;29;1;1;1;FALSE
201803161641;New Visitor;1;59;1;1;1;FALSE
201803161711;New Visitor;1;88;3;1;1;FALSE
201803161738;New Visitor;1;33;322;0;1;FALSE
201803161802;New Visitor;1;39;202;1;1;FALSE
201803161803;New Visitor;1;39;202;0;1;FALSE
201803161805;New Visitor;1;39;202;0;1;FALSE
201803161806;New Visitor;1;39;202;0;1;FALSE
201803161813;New Visitor;1;98;1;1;1;FALSE
201803161830;New Visitor;1;7;2;1;1;FALSE
201803161833;New Visitor;1;22;59;1;1;FALSE
201803161919;New Visitor;1;97;73;1;1;FALSE
201803161931;New Visitor;1;51;5;1;1;FALSE
201803162058;New Visitor;1;41;148;1;1;FALSE
201803162059;New Visitor;1;41;148;0;1;FALSE
201803162145;New Visitor;1;34;1;1;1;FALSE
201803170009;New Visitor;1;42;3;1;1;FALSE
201803170309;New Visitor;1;57;4;1;1;FALSE
201803170518;New Visitor;1;54;1;1;1;FALSE
201803170739;Returning Visitor;2;41;35;1;1;FALSE
201803170923;New Visitor;1;80;258;1;1;FALSE
201803170925;New Visitor;1;80;258;0;1;FALSE
201803170927;New Visitor;1;80;258;0;1;FALSE
201803171028;New Visitor;1;91;1;1;1;FALSE
201803171206;New Visitor;1;38;1;1;1;FALSE
201803171214;New Visitor;1;37;3;1;1;FALSE
201803171311;New Visitor;1;26;1;1;1;FALSE
201803171333;New Visitor;1;30;91;0;1;FALSE
201803171500;New Visitor;1;3;5;0;1;FALSE
201803171524;New Visitor;1;44;73;1;1;FALSE
